Region,Month of Period End,Measure Names,Measure Values
"Philadelphia, PA metro area",July 2021,Inventory MoM ,0.064859088
"Philadelphia, PA metro area",June 2021,Inventory MoM ,0.000810054
"Philadelphia, PA metro area",May 2021,Inventory MoM ,-0.020960124
"Philadelphia, PA metro area",April 2021,Inventory MoM ,-0.006367383
"Philadelphia, PA metro area",March 2021,Inventory MoM ,-0.029434595
"Philadelphia, PA metro area",February 2021,Inventory MoM ,-0.061438963
"Philadelphia, PA metro area",January 2021,Inventory MoM ,0.010523193
"Philadelphia, PA metro area",December 2020,Inventory MoM ,-0.003466042
"Philadelphia, PA metro area",November 2020,Inventory MoM ,0.016891802
"Philadelphia, PA metro area",October 2020,Inventory MoM ,0.032679177
"Philadelphia, PA metro area",September 2020,Inventory MoM ,-0.007918687
"Philadelphia, PA metro area",August 2020,Inventory MoM ,0.015242325
"Philadelphia, PA metro area",July 2020,Inventory MoM ,-0.025528938
"Philadelphia, PA metro area",June 2020,Inventory MoM ,0.004758240
"Philadelphia, PA metro area",May 2020,Inventory MoM ,0.047404451
"Philadelphia, PA metro area",April 2020,Inventory MoM ,-0.128616640
"Philadelphia, PA metro area",March 2020,Inventory MoM ,-0.061280526
"Philadelphia, PA metro area",February 2020,Inventory MoM ,0.015506272
"Philadelphia, PA metro area",September 2022,Inventory,5312.957262765
"Philadelphia, PA metro area",August 2022,Inventory,5608.721817692
"Philadelphia, PA metro area",July 2022,Inventory,5729.144099644
"Philadelphia, PA metro area",June 2022,Inventory,5715.345628387
"Philadelphia, PA metro area",May 2022,Inventory,5449.760870461
"Philadelphia, PA metro area",April 2022,Inventory,5480.048135592
"Philadelphia, PA metro area",March 2022,Inventory,5400.213883661
"Philadelphia, PA metro area",February 2022,Inventory,5491.668381424
"Philadelphia, PA metro area",January 2022,Inventory,5589.393571696
"Philadelphia, PA metro area",December 2021,Inventory,5690.990835349
"Philadelphia, PA metro area",November 2021,Inventory,5697.881276472
"Philadelphia, PA metro area",October 2021,Inventory,5740.030874462
"Philadelphia, PA metro area",September 2021,Inventory,5689.856608447
"Philadelphia, PA metro area",August 2021,Inventory,5594.476109246
"Philadelphia, PA metro area",July 2021,Inventory,5564.529719826
"Philadelphia, PA metro area",June 2021,Inventory,5225.601943253
"Philadelphia, PA metro area",May 2021,Inventory,5221.372350722
"Philadelphia, PA metro area",April 2021,Inventory,5333.155962299
"Philadelphia, PA metro area",March 2021,Inventory,5367.331820142
"Philadelphia, PA metro area",February 2021,Inventory,5530.108317022
"Philadelphia, PA metro area",January 2021,Inventory,5892.113670872
"Philadelphia, PA metro area",December 2020,Inventory,5830.755505171
"Philadelphia, PA metro area",November 2020,Inventory,5851.035442006
"Philadelphia, PA metro area",October 2020,Inventory,5753.842671173
"Philadelphia, PA metro area",September 2020,Inventory,5571.762070186
"Philadelphia, PA metro area",August 2020,Inventory,5616.235281801
"Philadelphia, PA metro area",July 2020,Inventory,5531.916020586
"Philadelphia, PA metro area",June 2020,Inventory,5676.839712102
"Philadelphia, PA metro area",May 2020,Inventory,5649.955863758
"Philadelphia, PA metro area",April 2020,Inventory,5394.244656171
"Philadelphia, PA metro area",March 2020,Inventory,6190.437991048
"Philadelphia, PA metro area",February 2020,Inventory,6594.555843613
"Philadelphia, PA metro area",September 2022,New Listings YoY ,-0.192279919
"Philadelphia, PA metro area",August 2022,New Listings YoY ,-0.183557256
"Philadelphia, PA metro area",July 2022,New Listings YoY ,-0.156419439
"Philadelphia, PA metro area",June 2022,New Listings YoY ,-0.049949459
"Philadelphia, PA metro area",May 2022,New Listings YoY ,-0.097588246
"Philadelphia, PA metro area",April 2022,New Listings YoY ,-0.046793080
"Philadelphia, PA metro area",March 2022,New Listings YoY ,-0.028011435
"Philadelphia, PA metro area",February 2022,New Listings YoY ,0.166102875
"Philadelphia, PA metro area",January 2022,New Listings YoY ,-0.043127876
"Philadelphia, PA metro area",December 2021,New Listings YoY ,-0.006881908
"Philadelphia, PA metro area",November 2021,New Listings YoY ,-0.011168223
"Philadelphia, PA metro area",October 2021,New Listings YoY ,-0.058811721
"Philadelphia, PA metro area",September 2021,New Listings YoY ,-0.016012266
"Philadelphia, PA metro area",August 2021,New Listings YoY ,-0.059047789
"Philadelphia, PA metro area",July 2021,New Listings YoY ,0.001628279
"Philadelphia, PA metro area",June 2021,New Listings YoY ,0.097870118
"Philadelphia, PA metro area",May 2021,New Listings YoY ,0.644231916
"Philadelphia, PA metro area",April 2021,New Listings YoY ,7.061852404
"Philadelphia, PA metro area",March 2021,New Listings YoY ,0.416917025
"Philadelphia, PA metro area",February 2021,New Listings YoY ,-0.108584615
"Philadelphia, PA metro area",January 2021,New Listings YoY ,0.047683592
"Philadelphia, PA metro area",December 2020,New Listings YoY ,0.100799013
"Philadelphia, PA metro area",November 2020,New Listings YoY ,0.104212284
"Philadelphia, PA metro area",October 2020,New Listings YoY ,0.166372287
"Philadelphia, PA metro area",September 2020,New Listings YoY ,0.090485177
"Philadelphia, PA metro area",August 2020,New Listings YoY ,0.245828563
"Philadelphia, PA metro area",July 2020,New Listings YoY ,0.201910523
"Philadelphia, PA metro area",June 2020,New Listings YoY ,0.013504337
"Philadelphia, PA metro area",May 2020,New Listings YoY ,-0.362265990
"Philadelphia, PA metro area",April 2020,New Listings YoY ,-0.867684673
"Philadelphia, PA metro area",March 2020,New Listings YoY ,-0.244647098
"Philadelphia, PA metro area",February 2020,New Listings YoY ,0.035944337
"Philadelphia, PA metro area",September 2022,New Listings MoM ,-0.014073032
"Philadelphia, PA metro area",August 2022,New Listings MoM ,-0.050867088
"Philadelphia, PA metro area",July 2022,New Listings MoM ,-0.086362000
"Philadelphia, PA metro area",June 2022,New Listings MoM ,0.060473950
"Philadelphia, PA metro area",May 2022,New Listings MoM ,-0.042080210
"Philadelphia, PA metro area",April 2022,New Listings MoM ,-0.013472281
"Philadelphia, PA metro area",March 2022,New Listings MoM ,-0.002142370
"Philadelphia, PA metro area",February 2022,New Listings MoM ,0.013941629
"Philadelphia, PA metro area",January 2022,New Listings MoM ,-0.037551905
"Philadelphia, PA metro area",December 2021,New Listings MoM ,-0.021460146
"Philadelphia, PA metro area",November 2021,New Listings MoM ,0.004417053
"Philadelphia, PA metro area",October 2021,New Listings MoM ,-0.015025350
"Philadelphia, PA metro area",September 2021,New Listings MoM ,-0.003425892
"Philadelphia, PA metro area",August 2021,New Listings MoM ,-0.019318770
"Philadelphia, PA metro area",July 2021,New Listings MoM ,0.028950069
"Philadelphia, PA metro area",June 2021,New Listings MoM ,0.007298155
"Philadelphia, PA metro area",May 2021,New Listings MoM ,0.011839405
"Philadelphia, PA metro area",April 2021,New Listings MoM ,0.005965906
"Philadelphia, PA metro area",March 2021,New Listings MoM ,0.197138209
"Philadelphia, PA metro area",February 2021,New Listings MoM ,-0.167987233
"Philadelphia, PA metro area",January 2021,New Listings MoM ,-0.001094721
"Philadelphia, PA metro area",December 2020,New Listings MoM ,-0.025683541
"Philadelphia, PA metro area",November 2020,New Listings MoM ,-0.043977368
"Philadelphia, PA metro area",October 2020,New Listings MoM ,0.029765240
"Philadelphia, PA metro area",September 2020,New Listings MoM ,-0.047011890
"Philadelphia, PA metro area",August 2020,New Listings MoM ,0.043919172
"Philadelphia, PA metro area",July 2020,New Listings MoM ,0.127817133
"Philadelphia, PA metro area",June 2020,New Listings MoM ,0.508586261
"Philadelphia, PA metro area",May 2020,New Listings MoM ,3.961161417
"Philadelphia, PA metro area",April 2020,New Listings MoM ,-0.823195694
"Philadelphia, PA metro area",March 2020,New Listings MoM ,-0.246852569
"Philadelphia, PA metro area",February 2020,New Listings MoM ,-0.022132511
"Philadelphia, PA metro area",September 2022,New Listings,2376.094489507
"Philadelphia, PA metro area",August 2022,New Listings,2410.010645325
"Philadelphia, PA metro area",July 2022,New Listings,2539.170872572
"Philadelphia, PA metro area",June 2022,New Listings,2779.187020914
"Philadelphia, PA metro area",May 2022,New Listings,2620.702772117
"Philadelphia, PA metro area",April 2022,New Listings,2735.826944274
"Philadelphia, PA metro area",March 2022,New Listings,2773.188112817
"Philadelphia, PA metro area",February 2022,New Listings,2779.142064659
"Philadelphia, PA metro area",January 2022,New Listings,2740.929049397
"Philadelphia, PA metro area",December 2021,New Listings,2847.872070210
"Philadelphia, PA metro area",November 2021,New Listings,2910.328137451
"Philadelphia, PA metro area",October 2021,New Listings,2897.529594771
"Philadelphia, PA metro area",September 2021,New Listings,2941.730118948
"Philadelphia, PA metro area",August 2021,New Listings,2951.842812170
"Philadelphia, PA metro area",July 2021,New Listings,3009.992158369
"Philadelphia, PA metro area",June 2021,New Listings,2925.304393662
"Philadelphia, PA metro area",May 2021,New Listings,2904.109749627
"Philadelphia, PA metro area",April 2021,New Listings,2870.129127197
"Philadelphia, PA metro area",March 2021,New Listings,2853.107753889
"Philadelphia, PA metro area",February 2021,New Listings,2383.273487208
"Philadelphia, PA metro area",January 2021,New Listings,2864.467447216
"Philadelphia, PA metro area",December 2020,New Listings,2867.606676974
"Philadelphia, PA metro area",November 2020,New Listings,2943.198434143
"Philadelphia, PA metro area",October 2020,New Listings,3078.586568890
"Philadelphia, PA metro area",September 2020,New Listings,2989.600396503
"Philadelphia, PA metro area",August 2020,New Listings,3137.080478513
"Philadelphia, PA metro area",July 2020,New Listings,3005.099018715
"Philadelphia, PA metro area",June 2020,New Listings,2664.526838508
"Philadelphia, PA metro area",May 2020,New Listings,1766.240954661
"Philadelphia, PA metro area",April 2020,New Listings,356.013603743
"Philadelphia, PA metro area",March 2020,New Listings,2013.602563704
"Philadelphia, PA metro area",February 2020,New Listings,2673.583524962
"Philadelphia, PA metro area",September 2022,Homes Sold YoY ,-0.213618624
"Philadelphia, PA metro area",August 2022,Homes Sold YoY ,-0.163445375
"Philadelphia, PA metro area",July 2022,Homes Sold YoY ,-0.155358895
"Philadelphia, PA metro area",June 2022,Homes Sold YoY ,-0.147142095
"Philadelphia, PA metro area",May 2022,Homes Sold YoY ,-0.013409573
"Philadelphia, PA metro area",April 2022,Homes Sold YoY ,-0.013182640
"Philadelphia, PA metro area",March 2022,Homes Sold YoY ,0.077443142
"Philadelphia, PA metro area",February 2022,Homes Sold YoY ,0.034694201
"Philadelphia, PA metro area",January 2022,Homes Sold YoY ,0.081436767
"Philadelphia, PA metro area",December 2021,Homes Sold YoY ,0.020502851
"Philadelphia, PA metro area",November 2021,Homes Sold YoY ,0.023206507
"Philadelphia, PA metro area",October 2021,Homes Sold YoY ,-0.055987188
"Philadelphia, PA metro area",September 2021,Homes Sold YoY ,-0.062468240
"Philadelphia, PA metro area",August 2021,Homes Sold YoY ,-0.003505887
"Philadelphia, PA metro area",July 2021,Homes Sold YoY ,0.131388762
"Philadelphia, PA metro area",June 2021,Homes Sold YoY ,1.052969343
"Philadelphia, PA metro area",May 2021,Homes Sold YoY ,1.291199639
"Philadelphia, PA metro area",April 2021,Homes Sold YoY ,0.668501627
"Philadelphia, PA metro area",March 2021,Homes Sold YoY ,0.204708623
"Philadelphia, PA metro area",February 2021,Homes Sold YoY ,0.102028114
"Philadelphia, PA metro area",January 2021,Homes Sold YoY ,0.194772563
"Philadelphia, PA metro area",December 2020,Homes Sold YoY ,0.103764863
"Philadelphia, PA metro area",November 2020,Homes Sold YoY ,0.217445061
"Philadelphia, PA metro area",October 2020,Homes Sold YoY ,0.292370635
"Philadelphia, PA metro area",September 2020,Homes Sold YoY ,0.245686567
"Philadelphia, PA metro area",August 2020,Homes Sold YoY ,0.168215734
"Philadelphia, PA metro area",July 2020,Homes Sold YoY ,0.015820024
"Philadelphia, PA metro area",June 2020,Homes Sold YoY ,-0.412582981
"Philadelphia, PA metro area",May 2020,Homes Sold YoY ,-0.529820547
"Philadelphia, PA metro area",April 2020,Homes Sold YoY ,-0.318862600
